attId,attCombo,Y-Cord,X-Cord,TeamId,attResult,InSys,pdfRate,attPace
ANA-ADO,PG,84,34,248,,FALSE,,
ANA-ADO,PG,74,18,245,#,FALSE,!,H
TRU-CAR,PG,81,30,248,,FALSE,@,
TRU-CAR,PG,80,20,245,,FALSE,,
TRU-CAR,PG,81,19,248,-,FALSE,!,H
ANA-ADO,V4,58,28,245,@,FALSE,!,H
ANA-ADO,PG,80,12,248,,FALSE,,
ANA-ADO,PG,54,82,245,+,TRUE,#,H
ANA-ADO,V4,57,60,248,,FALSE,/,
ANA-ADO,V4,78,46,245,!,FALSE,+,H
ANA-ADO,PG,78,16,248,,FALSE,,
TRU-CAR,PG,81,57,245,!,FALSE,+,P
TRU-CAR,PG,77,74,248,,FALSE,,
TRU-CAR,PG,77,16,245,-,TRUE,#,T
TRU-CAR,V4,79,27,248,#,FALSE,-,H
TRU-CAR,PG,80,23,245,,FALSE,@,
ANA-ADO,PG,78,19,248,,FALSE,,
ANA-ADO,PG,78,73,245,#,TRUE,#,H
ANA-ADO,V4,80,33,248,,FALSE,,
ANA-ADO,PG,61,22,245,,FALSE,,
ANA-ADO,PG,81,63,248,@,TRUE,+,H
ANA-ADO,PG,83,34,245,,FALSE,,
ANA-ADO,PG,82,34,248,,FALSE,/,
TRU-CAR,V4,74,55,245,#,FALSE,,P
TRU-CAR,PG,53,83,248,,FALSE,@,
TRU-CAR,V4,72,62,245,,FALSE,,
ANA-ADO,V4,79,61,248,#,TRUE,#,H
ANA-ADO,V4,81,59,245,,FALSE,@,
ANA-ADO,PG,81,24,248,,FALSE,,
TRU-CAR,PG,61,72,245,,FALSE,@,
ANA-ADO,V4,65,43,248,,FALSE,,
ANA-ADO,PG,81,28,245,,FALSE,,
ANA-ADO,PG,82,14,248,-,TRUE,#,T
TRU-CAR,V4,81,29,245,#,FALSE,-,H
TRU-CAR,V4,79,53,248,,FALSE,@,
ANA-ADO,PG,80,25,245,,FALSE,,
ANA-ADO,PG,80,54,248,#,TRUE,+,H
ANA-ADO,PG,81,26,245,,FALSE,@,
ANA-ADO,PG,76,19,248,,FALSE,,
TRU-CAR,PG,82,29,245,/,TRUE,+,H
TRU-CAR,PG,61,84,248,,FALSE,,
ANA-ADO,PG,99,22,245,,FALSE,@,
TRU-CAR,V4,70,24,248,,FALSE,,
TRU-CAR,V4,84,70,245,-,TRUE,#,H
TRU-CAR,PG,79,50,248,-,FALSE,-,H
TRU-CAR,PG,75,19,245,-,FALSE,+,P
TRU-CAR,V4,74,75,248,-,FALSE,!,P
